server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode,proxy_cpu_pct,nodes,target_role,cluster_cpu_pct,node_cpu,resent_inputs,forward_rewinds,drop_node_proposals,refused_connections,rejected_puts,term_changes,leader_changes,isolated_after
rs,producers-consumers,10,4096,1,4,11252.0,37.5,663.3,1021.5,3319.2,639.7,1002.3,2802.3,637.8,1007.8,4136.8,5.51,0,0,cluster-follower,,3,follower,122.6,1:F*:42.8;2:F:23.1;3:L:56.7,80,5,0,0,0,2,0,0
rs,producers-consumers,10,4096,1,5,138931.0,172.8,69.0,146.3,204.0,68.8,144.5,201.8,67.5,143.8,203.7,4.97,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,10,4096,1,5,8072.9,40.8,555.8,826.5,195086.0,552.0,817.6,239254.0,549.5,814.4,195084.6,4.88,0,0,cluster-leader,,3,leader,42.9,1:L*:26.1;2:F:8.4;3:F:8.4,0,0,0,0,0,0,0,0
rs,producers-consumers,10,4096,1,5,10371.2,34.3,687.0,1063.9,84314.3,662.8,1039.4,84116.1,662.3,1052.8,1973.2,4.65,0,0,cluster-follower,,3,follower,84.9,1:F*:29.6;2:F:18.2;3:L:37.1,31,2,0,0,0,2,0,0
rs,producers-consumers,100,16,1,1,175454.7,229.6,563.0,858.5,1242.5,564.0,863.0,1283.7,562.7,857.0,1158.8,4.93,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,100,16,1,1,25886.2,95.7,3873.7,4671.3,5041.0,3864.9,4668.5,4997.0,3863.0,4654.2,5045.5,5.57,0,0,cluster-leader,,3,leader,99.4,1:F:7.4;2:F:7.6;3:L*:84.4,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,1,19160.0,39.6,5143.2,7444.0,20674.2,5139.5,7424.8,20678.8,5134.3,7344.0,20704.0,6.36,0,0,cluster-follower,,3,follower,78.4,1:F*:35.9;2:F:6.6;3:L:35.9,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,2,162002.1,245.4,605.6,887.2,1119.5,606.4,886.6,1178.8,605.0,886.6,1120.2,6.83,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,100,16,1,2,19439.5,84.9,4451.7,25841.0,55925.6,4445.9,25874.6,56082.0,4431.2,25873.8,45246.2,6.53,0,0,cluster-leader,,3,leader,92.9,1:F:7.6;2:F:7.3;3:L*:78.0,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,2,20667.4,42.4,4814.8,6065.2,6690.1,4807.3,6050.6,9909.8,4804.9,6046.2,6493.6,6.35,0,0,cluster-follower,,3,follower,78.0,1:F*:38.3;2:F:6.9;3:L:32.8,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,3,160001.3,248.4,618.5,879.1,1228.6,619.1,881.2,1168.5,618.2,879.7,1171.3,6.06,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,100,16,1,3,24575.3,96.5,3999.2,6246.8,8511.2,3991.0,6287.9,11332.0,3987.5,6177.8,8400.6,5.79,0,0,cluster-leader,,3,leader,102.5,1:F:7.9;2:F:7.9;3:L*:86.7,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,3,17747.6,34.6,5349.3,9264.2,12037.5,5346.3,9272.5,11382.9,5332.0,9236.2,12148.2,5.43,0,0,cluster-follower,,3,follower,77.3,1:F*:32.8;2:F:6.4;3:L:38.1,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,4,169662.5,236.3,590.1,896.2,1632.5,590.8,901.6,1563.5,589.8,893.5,1601.0,5.48,0,0,none,,,,,,,,,,,,,
rs,producers-consumers,100,16,1,4,22411.1,89.2,4068.6,9891.3,35370.3,4060.3,10073.0,41360.4,4055.9,9725.7,35051.9,6.31,0,0,cluster-leader,,3,leader,92.9,1:F:6.8;2:F:7.1;3:L*:79.0,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,4,19335.6,39.2,5154.0,6433.3,6825.0,5150.7,6425.5,6843.4,5138.0,6426.8,6770.2,6.12,0,0,cluster-follower,,3,follower,78.0,1:F*:36.0;2:F:6.5;3:L:35.5,0,0,0,0,0,0,0,0
rs,producers-consumers,100,16,1,5,163781.8,242.5,600.7,893.1,1547.8,601.5,895.5,1489.6,600.7,894.6,1568.9,6.02,0,0,none,,,,,,,,,,,,,
