server,scenario,conns,body_size,pipeline,run,ops_per_sec,server_cpu_pct,put_p50_us,put_p99_us,put_p999_us,reserve_p50_us,reserve_p99_us,reserve_p999_us,delete_p50_us,delete_p99_us,delete_p999_us,load_avg,idle_conns,delayed_tubes,server_mode
ref,producers-consumers,10,4096,1,2,128196.2,73.1,86.1,132.5,196.1,77.7,117.5,181.6,75.6,115.6,180.9,3.58,0,0,none
rs,producers-consumers,10,4096,1,2,167502.3,148.9,57.4,118.4,183.2,57.3,118.3,181.3,56.4,116.8,180.4,3.69,0,0,none
ref,producers-consumers,10,4096,1,2,98096.1,96.8,97.5,212.7,7339.8,74.2,167.9,7191.5,77.0,174.5,7255.0,4.43,0,0,F
rs,producers-consumers,10,4096,1,2,129672.9,185.1,72.4,156.0,1139.8,69.6,150.7,1126.0,70.5,151.0,1135.1,4.28,0,0,F
ref,producers-consumers,10,4096,1,2,97088.7,96.0,97.5,217.0,7508.0,74.0,166.7,7290.3,76.8,172.8,7307.6,4.45,0,0,default
rs,producers-consumers,10,4096,1,2,125681.8,180.1,72.0,189.6,1205.5,69.1,183.2,1200.5,69.9,183.3,1193.0,4.33,0,0,default
ref,producers-consumers,10,4096,1,2,27665.2,42.8,270.1,549.0,8530.3,170.2,365.8,7833.1,207.8,429.9,8103.9,4.83,0,0,f0
rs,producers-consumers,10,4096,1,2,29644.7,66.8,187.3,359.0,2070.1,179.8,333.8,1996.3,183.2,345.6,2068.1,5.65,0,0,f0
ref,producers-consumers,10,4096,1,3,125318.6,76.9,88.3,160.3,214.2,75.2,132.1,187.4,73.0,130.0,184.5,5.83,0,0,none
rs,producers-consumers,10,4096,1,3,159081.2,152.0,60.1,128.1,182.6,60.0,127.8,179.4,58.9,126.4,181.2,5.79,0,0,none
ref,producers-consumers,10,4096,1,3,85732.6,92.7,112.4,241.5,7973.3,86.7,186.5,7664.1,90.0,191.0,7536.4,5.58,0,0,F
rs,producers-consumers,10,4096,1,3,122645.4,185.8,76.1,169.5,1222.1,73.2,164.6,1224.4,74.2,163.0,1194.8,5.53,0,0,F
ref,producers-consumers,10,4096,1,3,85682.6,91.4,111.5,244.0,7761.0,86.3,185.5,7616.9,89.2,192.4,7605.0,5.66,0,0,default
rs,producers-consumers,10,4096,1,3,120604.4,183.1,75.4,174.2,1491.2,71.9,165.2,1495.5,73.4,171.6,1463.2,5.64,0,0,default
ref,producers-consumers,10,4096,1,3,19318.9,34.5,304.8,642.2,133018.2,191.0,434.0,10942.3,234.8,510.2,11165.5,6.05,0,0,f0
rs,producers-consumers,10,4096,1,3,30014.8,70.6,200.6,338.5,1998.6,192.8,323.8,1996.7,196.0,328.8,1952.5,5.72,0,0,f0
ref,producers-consumers,100,16,1,1,170879.3,92.7,582.1,750.6,977.1,582.8,751.9,1173.2,581.7,750.0,906.4,5.39,0,0,none
rs,producers-consumers,100,16,1,1,199859.2,207.3,491.9,688.3,872.6,492.5,688.6,896.0,491.3,687.2,878.0,5.76,0,0,none
ref,producers-consumers,100,16,1,1,91715.9,93.4,1057.5,1643.2,2197.3,1049.5,1632.3,2206.4,1063.2,1651.6,2165.2,5.95,0,0,F
rs,producers-consumers,100,16,1,1,164339.3,282.8,586.7,982.8,1743.3,585.5,979.4,1988.7,586.9,983.2,1637.3,6.46,0,0,F
ref,producers-consumers,100,16,1,1,98434.6,91.3,968.2,1550.5,2057.0,962.9,1542.2,2045.8,971.9,1555.7,2061.3,7.06,0,0,default
rs,producers-consumers,100,16,1,1,172308.7,277.5,572.0,796.5,1782.5,570.3,796.6,1985.4,571.7,795.4,1747.9,7.22,0,0,default
ref,producers-consumers,100,16,1,1,41405.2,59.3,2379.9,3233.8,3911.5,2312.5,3109.3,3885.2,2439.9,3322.8,9502.6,7.87,0,0,f0
rs,producers-consumers,100,16,1,1,55911.5,116.4,1781.5,2472.7,3392.5,1781.0,2443.8,3500.8,1771.0,2439.5,3298.3,7.88,0,0,f0
ref,producers-consumers,100,16,1,2,160065.5,94.5,620.4,898.5,1425.9,621.0,900.2,1409.0,619.9,897.2,1467.0,7.83,0,0,none
rs,producers-consumers,100,16,1,2,139428.5,223.0,696.0,1381.0,2193.8,697.4,1389.4,2221.3,695.7,1386.6,2160.5,7.64,0,0,none
ref,producers-consumers,100,16,1,2,106896.8,98.6,909.7,1468.2,2227.1,903.6,1458.4,2173.8,913.8,1476.4,10471.0,8.03,0,0,F
rs,producers-consumers,100,16,1,2,162253.1,261.4,573.8,1059.5,4623.5,572.5,1058.1,4758.8,573.6,1061.1,4719.5,7.79,0,0,F
ref,producers-consumers,100,16,1,2,105838.7,97.8,914.5,1488.9,2039.7,908.9,1477.5,1883.9,917.9,1497.4,2113.0,8.28,0,0,default
rs,producers-consumers,100,16,1,2,183410.6,268.8,533.8,773.8,1675.8,533.0,775.5,1702.5,533.9,772.8,1594.6,7.62,0,0,default
